name,label,fslabel
Unknown,0,0
Left-Cerebral-White-Matter,1,2
Left-Cerebral-Cortex,2,3
Left-Lateral-Ventricle,3,4
Left-Inf-Lat-Vent,4,5
Left-Cerebellum-White-Matter,5,7
Left-Cerebellum-Cortex,6,8
Left-Thalamus-Proper,7,10
Left-Caudate,8,11
Left-Putamen,9,12
Left-Pallidum,10,13
3rd-Ventricle,11,14
4th-Ventricle,12,15
Brain-Stem,13,16
Left-Hippocampus,14,17
Left-Amygdala,15,18
CSF,16,24
Left-Accumbens-area,17,26
Left-VentralDC,18,28
Left-choroid-plexus,19,31
Right-Cerebral-White-Matter,20,41
Right-Cerebral-Cortex,21,42
Right-Lateral-Ventricle,22,43
Right-Inf-Lat-Vent,23,44
Right-Cerebellum-White-Matter,24,46
Right-Cerebellum-Cortex,25,47
Right-Thalamus-Proper,26,49
Right-Caudate,27,50
Right-Putamen,28,51
Right-Pallidum,29,52
Right-Hippocampus,30,53
Right-Amygdala,31,54
Right-Accumbens-area,32,58
Right-VentralDC,33,60
Right-choroid-plexus,34,63
CC_Posterior,35,251
CC_Mid_Posterior,36,252
CC_Central,37,253
CC_Mid_Anterior,38,254
CC_Anterior,39,255
